seed,attack,precision,recall,f1,auc_roc,mttd_s
0,dos_amf,0.9491415123926329,0.7888004768127851,0.8925135358741937,0.9382169414917364,25.24482405673082
1,dos_amf,0.9009346147941304,0.8238352120950185,0.8605127222296926,0.9094959652748714,30.7347803621321
2,dos_amf,0.9663819392458848,0.8433337580628684,0.8719809209268364,0.943817236209041,37.33754671126023
3,dos_amf,0.9142212261135028,0.8310625235224749,0.84123352197513,0.9363535090392182,34.75037044506873
4,dos_amf,0.9344541290936421,0.7995721136678817,0.9066762401602209,0.9053641155379359,32.85836088918447
0,lateral_mvmt,0.8694359934853532,0.7759692755666004,0.8209633219309224,0.8723819783478797,67.15410501503942
1,lateral_mvmt,0.9442494280261138,0.7478075495084615,0.794632718127854,0.8355868181525636,68.07989711287748
2,lateral_mvmt,0.9138691687816267,0.7565815762703537,0.7847953056911242,0.8352655635292628,68.2529639391235
3,lateral_mvmt,0.9022976251361032,0.7762946280491558,0.7900347087813392,0.8669648396920016,65.58342904570364
4,lateral_mvmt,0.8865606579018704,0.7861428633384457,0.8167078664632406,0.8803674068921569,65.33789534744446
0,priv_esc,0.9186735819606996,0.8189386467751563,0.80628532540433,0.880409863509281,49.648136728536024
1,priv_esc,0.8908336645526997,0.7917457324631996,0.8948482393370318,0.8640250665292027,56.84139177295741
2,priv_esc,0.8595139068515258,0.7899534491004268,0.8548825919531502,0.9075866699407784,55.55613289896427
3,priv_esc,0.9338004170559978,0.7895382478325469,0.8361294462200629,0.9157392764377146,51.043478375591924
4,priv_esc,0.8717294102998624,0.7660013835798957,0.8224164314199517,0.9049148223216129,52.712128680352826
0,sig_storm,0.870714560622033,0.7771824206099041,0.8247561907323013,0.8887677118190201,26.453267301398807
1,sig_storm,0.8637032571267224,0.7701422217680005,0.8091083846030478,0.8585478631800502,22.020801772054803
2,sig_storm,0.8646091744235674,0.7759179297939183,0.8203748235618306,0.8844223997671773,30.23265588014972
3,sig_storm,0.8699615532691836,0.7870454354647173,0.8073010506386753,0.867608453672808,19.56332783020985
4,sig_storm,0.8065866258273073,0.750319011629368,0.7900825951719554,0.8819932268017031,23.472604723199694
0,data_exfil,0.9186551233788184,0.868976848933582,0.8693120808681573,0.9221254670540127,38.331911599950615
1,data_exfil,0.9238368732639711,0.8014993383526825,0.8698290077229831,0.9252092441237219,34.36339788403826
2,data_exfil,0.9430327093063757,0.8371320680699683,0.8621755013290962,0.8566182643683464,43.360647538569346
3,data_exfil,0.914115218728086,0.836980286340641,0.8806555643657032,0.9480533667396275,41.80322186263488
4,data_exfil,0.8992950752213441,0.8353782690486894,0.8865999005191529,0.9407756272572131,47.17555622957289
